WorkerId,item,realopp
A36RO2EK1P2G3W,9,
A36RO2EK1P2G3W,4,
A36RO2EK1P2G3W,2,
A36RO2EK1P2G3W,10,
A36RO2EK1P2G3W,11,
A36RO2EK1P2G3W,6,
A36RO2EK1P2G3W,12,
A36RO2EK1P2G3W,7,
A3GEHH49HNJM57,1,
A3GEHH49HNJM57,5,
A3GEHH49HNJM57,13,
A3GEHH49HNJM57,7,
A3GEHH49HNJM57,3,
A3GEHH49HNJM57,12,
A3GEHH49HNJM57,11,
A3GEHH49HNJM57,2,
A3GEHH49HNJM57,10,
A3GEHH49HNJM57,8,
A3GEHH49HNJM57,6,
A3GEHH49HNJM57,9,
A3GEHH49HNJM57,4,
A1L3937MY09J3I,1,
A1L3937MY09J3I,8,
A1L3937MY09J3I,13,
A1L3937MY09J3I,3,
A1L3937MY09J3I,7,
A1L3937MY09J3I,9,
A1L3937MY09J3I,5,
A1L3937MY09J3I,11,
A1L3937MY09J3I,12,
A1L3937MY09J3I,2,
A1L3937MY09J3I,4,
A1L3937MY09J3I,10,
A1L3937MY09J3I,6,
A2XFO0X6RCS98M,1,
A2XFO0X6RCS98M,12,
A2XFO0X6RCS98M,8,
A2XFO0X6RCS98M,5,
A2XFO0X6RCS98M,13,
A2XFO0X6RCS98M,4,
A2XFO0X6RCS98M,6,
A2XFO0X6RCS98M,9,
A2XFO0X6RCS98M,7,
A2XFO0X6RCS98M,2,
A2XFO0X6RCS98M,10,
A2XFO0X6RCS98M,11,
A2XFO0X6RCS98M,3,
A1VLRMNX5OSDNJ,1,
A1VLRMNX5OSDNJ,7,
A1VLRMNX5OSDNJ,2,1
A1VLRMNX5OSDNJ,12,
A1VLRMNX5OSDNJ,8,
A1VLRMNX5OSDNJ,6,
A1VLRMNX5OSDNJ,9,
A1VLRMNX5OSDNJ,11,
A1VLRMNX5OSDNJ,5,
A1VLRMNX5OSDNJ,13,
A1VLRMNX5OSDNJ,4,
A1VLRMNX5OSDNJ,3,
A1VLRMNX5OSDNJ,10,
A1ZT30BGR3266K,1,
A1ZT30BGR3266K,6,
A1ZT30BGR3266K,8,
A1ZT30BGR3266K,13,1
A1ZT30BGR3266K,2,
A1ZT30BGR3266K,4,
A1ZT30BGR3266K,12,
A1ZT30BGR3266K,3,
A1ZT30BGR3266K,11,
A1ZT30BGR3266K,10,
A1ZT30BGR3266K,5,
A1ZT30BGR3266K,7,
A1ZT30BGR3266K,9,
A2Z3VYYYAIOGHC,1,
A2Z3VYYYAIOGHC,2,
A2Z3VYYYAIOGHC,9,
A2Z3VYYYAIOGHC,8,
A2Z3VYYYAIOGHC,3,
A2Z3VYYYAIOGHC,10,
A2Z3VYYYAIOGHC,11,
A2Z3VYYYAIOGHC,6,
A2Z3VYYYAIOGHC,12,
A2Z3VYYYAIOGHC,7,
A2Z3VYYYAIOGHC,5,
A2Z3VYYYAIOGHC,13,
A2Z3VYYYAIOGHC,4,
A1QHPTK8NV3IBQ,1,
A1QHPTK8NV3IBQ,2,1
A1QHPTK8NV3IBQ,12,
