token_id,enterer,utterance_id,irrel,embed,compar,neg_pres,neg_even,sent_neg,position,focus,likely,comment,embed_assoc,part_of_speech.u,stem.u,speaker_id,utterance_order,transcript_id,gloss,num_tokens,stem.t,part_of_speech.t,speaker_code,speaker_name,speaker_role,target_child_age,target_child_name,target_child_sex,type,media_end,media_start,media_unit,num_morphemes,corpus_name
13090325,Yadav,3297351,0,0,0,No,N/A,No,Post-Subject,Adjunct,Least-likely,,0,adv,even,5006,545,7507,even if it hurts,4,even if it hurt,adv conj pro:per v,SIS,NA,Sister,1297.375,Laura,female,declarative,1012.742,1011.628,s,5,Braunwald
13090517,Yadav,3297406,0,0,0,Yes,Neg-Even,Yes,Post-Subject,Verb,Most-likely,,0,adv,even,5006,563,7505,I don't even think we're gonna have enough room,9,I do even think we gonna have enough room,pro:sub mod adv v pro:sub mod:aux v adj n,SIS,NA,Sister,1296.375,Laura,female,declarative,1040.68,1038.486,s,11,Braunwald
13091612,Yadav,3297676,0,0,0,Yes,Neg-Even,Yes,Post-Subject,Object,Most-likely,,0,adj,even,5006,288,7522,Mr_Johnson dropped her off and he didn't even ask if it was okay,13,Mr_Johnson drop her off and he do even ask if it be okay,n:prop v det:poss adv coord pro:sub mod adj v conj pro:per cop adj,SIS,NA,Sister,1447.5625,Laura,female,declarative,766.714,762.139,s,18,Braunwald
13092885,Yadav,3298055,0,0,0,Yes,Neg-Even,Yes,Post-Subject,Object,Most-likely,,0,v,even,5008,137,7532,I didn't even want the ice+cream,6,I do even want the,pro:sub mod v v det:art,MOT,NA,Mother,1559.3125,Laura,female,declarative,215.1,213.614,s,7,Braunwald
13094179,Yadav,3298414,0,0,0,Yes,Neg-Even,Yes,Post-Subject,Object,Most-likely,,0,v,even,5006,700,7502,she doesn't even need her a coat,7,she do even need a coat,pro:sub mod v v det:art n,SIS,NA,Sister,1275.9375,Laura,female,declarative,1412.611,1410.301,s,8,Braunwald
13094181,Yadav,3298406,0,0,0,Yes,Neg-Even,Yes,Post-Subject,Object,Most-likely,,0,v,even,5008,790,7503,you know it's not even nine o'clock,7,you know it not even nine o'clock,pro:per v pro:per neg v det:num n,MOT,NA,Mother,1294.375,Laura,female,declarative,1470.431,1468.724,s,8,Braunwald
13094283,Yadav,3298439,0,0,0,Yes,Neg-Even,Yes,Post-Subject,Verb,Most-likely,,0,adj,even,5008,791,7503,Mrs_Jwww didn't even phone yet,5,Mrs_Jwww do even phone yet,n:prop mod adj n adv,MOT,NA,Mother,1294.375,Laura,female,declarative,1472.161,1470.431,s,7,Braunwald
13108614,Yadav,3302557,0,0,0,No,N/A,No,Post-Subject,Object,Least-likely,,0,adv,even,5008,393,7531,in fact they even took their own shower tonight,9,in fact they even take their own shower tonight,prep n pro:sub adv v det:poss adj n adv:tem,MOT,NA,Mother,1559.3125,Laura,female,declarative,620.462,618.338,s,10,Braunwald
13112145,Yadav,3303630,0,0,0,No,N/A,No,Post-Subject,Adjunct,Least-likely,,0,adv,even,5008,217,7543,I can even see it from here,7,I can even see it from here,pro:sub mod adv v pro:per prep adv,MOT,NA,Mother,1692.0625,Laura,female,declarative,266.091,264.605,s,7,Braunwald
13112473,Yadav,3303737,0,0,0,Yes,Neg-Even,Yes,Post-Subject,Object,Most-likely,,0,v,even,5008,222,7543,you didn't even help it a little,7,you do even help it a little,pro:per mod v v pro:per det:art adj,MOT,NA,Mother,1692.0625,Laura,female,question,274.101,272.487,s,9,Braunwald
13112764,Yadav,3303830,0,0,1,No,N/A,No,Post-Subject,Adjunct,Least-likely,,0,adv,even,5008,148,7542,do it even longer,4,do it even long,mod pro:per adv adj,MOT,NA,Mother,1692.0625,Laura,female,question,280.823,279.255,s,5,Braunwald
13115665,Yadav,3304744,0,0,0,Yes,Neg-Even,Yes,Post-Subject,Verb,Most-likely,,0,adv,even,5006,1053,7502,this won't even fit through it,6,this will even fit through it,pro:dem mod adv part prep pro:per,SIS,NA,Sister,1275.9375,Laura,female,declarative,2074.267,2072.328,s,8,Braunwald
13118979,Yadav,3305785,0,0,0,No,N/A,No,Post-Subject,Verb,Least-likely,,0,adv,even,5008,604,7531,you even helped make it,5,you even help make it,pro:per adv part v pro:per,MOT,NA,Mother,1559.3125,Laura,female,declarative,1025.905,1024.582,s,6,Braunwald
13122221,Yadav,3306798,0,0,0,No,N/A,No,Post-Subject,Object,Least-likely,,0,adv,even,5006,1148,7502,see it even keeps her neck warm and that's really good,11,see it even keep her neck warm and that real good,v pro:per adv v det:poss n adj coord pro:dem adv adj,SIS,NA,Sister,1275.9375,Laura,female,declarative,2238.213,2234.382,s,15,Braunwald
13123605,Yadav,3307257,0,0,0,Yes,Neg-Even,Yes,Post-Subject,Verb,Most-likely,,0,adj,even,5006,1172,7505,Sean didn't even scream that loud,6,Sean do even scream that loud,n:prop mod adj n pro:rel adj,SIS,NA,Sister,1296.375,Laura,female,declarative,2202.18,2200.288,s,8,Braunwald
